category,description,label
Household,"MOHAK Plastic Swifty Sharp Cordless, Motorized Knife Blade Sharpener (Green) Ncredible motorized knife sharpener sharpen knives like a Pro with swifty sharp, as seen on TV. This easy-to-use cordless sharpener features a built-in guide to hold your blades at the perfect angle. A -grade mineral sharpening wheel and two-stage system restores a razor-sharp edge in just seconds. Use it on, precision hand tools, scissors and even larger household tools. A safe and effective sharpening system why put up with the time, hassle and expense of taking your knives to be serviced and why risk damaging your blades with a manual sharpening stone, ceramic rod sharpener or sharpening steel swifty sharp lets you easily restore your dull. Just press the power button, insert the blade in the guide and slide. The high-speed rotating sharpening stone automatically shapes and hones the blade to. The multi-purpose blade sharpening tool do you have a drawer full of dull don't replace them-revitalize them with swifty sharp. This sleek countertop unit works fast and comes with a built-in catch tray to any metal shavings. Use it on all your knives whether smooth or serrated: paring, fillet, steak, chef knives and cleavers. It works on scissors, small hand tools and hedge, too. Compact and lightweight, it is easy to stash in a drawer or cabinet when you're done. Sharpen your blades quickly and easily stop wondering what to do about your tired, old kitchen and let swifty sharp make them as sharp as they day you bought them.",3
Books,GAME OF THRONES: A DANCE WITH DRAGONS PART 2,0
Household,"Happily Unmarried Face Scrub, 100gm (Dry to Normal Skin)",3
Books,Parks Text Book Of Preventive & Social Medicine Park*s Textbook Of Preventive Social Medicine 24 Th Edition,0
Electronics,"ORC 15 Pin Male To Male Vga Cable 1.5 M The 1. 5 meter male to male VGA cable is wrapped in black PVC cable, which provides efficient insulation and also reduces the interference from other signals enabling you to enjoy performance at all times. This VGA monitor cable also accommodates three coaxial conductors for RGB signal to amplify image and colour. Additionally, the male to male VGA adapter cable is also RoHS certified. The simple and robust cable is a great choice for using at home, in classrooms or offices due to its components and enhanced design. Colour: Black Compatible with: Computer monitors, televisions, LEDs, LCDs Perfect signal transmission Zero distortion Rust- and corrosion-resistant Enhanced image and colours RoHS certified Cable Length: 1. 5m.",2
Electronics,"ERD AD-33 16 Channel Power Supply for CCTV Cameras (White) CCTV Camera Power Supply CCTV Camera Features : Stabilized output, Low Ripple and Low Interference Surge Protection Short circuit and Overload Protection Over Current protection Over Voltage protection High Efficiency and Low Energy Consumption Power Led Monitor for individual camera channel Low Ripple Voltage ( mV P-P):<5 per cent Short Circuit Auto Restart Highly Integrated SMPS Switcher I.C Design Technical Specifications : AC Input Voltage : 150V TO 265V Input Frequency : 50/60 HZ Output Voltage : 12.OV DC Operating Temperature : -20oC - 60oC Available in 4, 8, and 16 Channels.",2
Books,"The Travel Book (Lonely Planet Kids) Review Chock full of colorful maps, photos and infographics designed to engage little ones with the world before taking a big trip overseas or just over the border.--KidventurousThe Travel Book takes kids on a fantastic journey to every country in the world. Kids age 6 and up will enjoy reading all about food, wildlife, and cool trivia.--The Travelling Mom",0
Books,"Microsoft Office Home & Student 2016 For 1 Windows PC laptop- Lifetime license (Activation Key Card) Style Name:For PC (Voucher)   Get more done, from home or school office 2016 is designed to help you create and organize faster with time-saving features, a new modern look and built-in collaboration tools. Plus, you can save your documents in the cloud on OneDrive and access them from anywhere.",0
Clothing & Accessories,"Krypmax Men's Velvet Sherwani Dupatta (Maroon, 2.5 m) This beautifully handmade sherwani dupatta by MaxtakIndia will increase your sherwani looks and beauty. When you will wear it with sherwani, you must say wow and same will be happened with all person when they will see you with it. It features a handmade design of on both of the corner on front side which looks like a gold design. Dupatta comes in maroon color and velvet fabric. It has color of actual dupatta may vary due to computer graphics.",1
Clothing & Accessories,"FOOTPRINTS Cotton Socks for Baby (Multicolour, 3-5 Years) - Pack of 5 Footprints socks are made from pure organic cotton and eco-friendly fibers and colours. Perfect for 3-5 years, they are rid from harmful chemicals and coloured dyes which may cause harm to the super sensitive skin of your baby. Footprints socks are blended with eco-friendly fiber which does not allow bacteria to grow hence making them antibacterial. Key features 1. Organic cotton 2. Antibacterial 3. Antimicrobial 4. Anti-allergic- no skin rashes and irritation",1
Electronics,"Gripp Universal 180° Rotatable Armband with Key and Phone Holder for 4"" to 5.8"" Smartphones (Grey) Colour:Grey   ►Note:1. This band is for arm size from 9"" to 16"" 2.For phone with screen size from 4” to 4.7”, can use the armband with slim and heavy case For Phone screen size 5” to 5.8”, the armband workable for phone with slim case only►Material:High quality Silicon for phone holderElastic Velcro band as long as to 7.5”Skin friendly neoprene inside for comfortable wearingColorful PU outside for decoration►Whether you love staying indoors, or prefer to be outdoors, you can use the Hands-free phone armband for:* Gym workouts* Exercise * Taking a walk* Cycling* Driving* Jogging* Running* Hiking* Climbing* Gardening* Cleaning houseImagine doing everything that you want with easy access to phone calls, music, apps, messages and anything else that’s important for you!!!►Features of the Sport Armband:* Hands-free & full smart phone usage: The armband is ultra Lightweight (2.0oz) for speed and comfort during all activities. Completely access to all buttons and controls of the smartphone. You can catch any message and call conveniently and capture every perfect moment with this 180° rotation armband that Sits Snugly on Your arm.** Safe & Easy to use: The rubber holder is strong and awesome, hold the phone tightly and securely to arm, no need to worry about losing the phone. Cell phone can be fastened to and removed from armband with ease.*** Quality Material: This workout Armband is made of the highest quality elastic velcro, no matter how you twist and bend but not stretch out of shape. It can stand up to the toughest of workouts and marathons.",2
Clothing & Accessories,"StoresHub Unisex Ankle Length Socks (White, Grey and Black) -Pack of 3 Storeshub Latest collection of socks consists of 80% Cotton 16 %Nylon 4 % Lycra. Soft and absorbent fabric, stylish look, Ankle Length, formal wear, sports wear and other casual wear for men, women, boys. Ultimate fit and comfort, designed to move with you on and off the court. Bring home this comfortable pack of 3 cotton socks for all your casual, athletic and daily activities in ankle length.",1
Clothing & Accessories,"DSC Cricket T-Shirt Atmos Full Sleeve DSC is a trusted name in sports goods especially Cricket in India with a history going back to the 1970s. The company has focus to develop products & technologies that help athletes achieve their peak performance. The tagline ""FEARLESS"" captures the spirit of high performing athletes, who are always ready to accept any new challenges thrown to them in this highly competitive world. DSC Sportswear has technology at the core and keeps you ventilated by facilitating moisture management – no matter what you wear: Shirts and tops, Lowers, Socks, shorts and Track suits. DSC sportswear are constructed with colors that resist both wash out and sun exposure. DSC T-Shirt(Atmos) is made of 100% polyester interlock fabric and has wiking and cooling properties. It is made with seamless technology that allows natural body movement. Ultra light performance polyester fabric is for effortless movement of body during play. Moisture management system wicks away the moisture to feel dry and cool. Piping knit enhances breathability of fabric.",1
Electronics,"Action Pro Tripod Mount Adapter Walway Universal Cell Phone Clip Holder Camera Bracket Product Parameter  Material: Aluminum alloy and ABS plastic Mounting Screw Hole Material: Metal copper Color: Black Item Size: 3.15x2.17*1.18inchc (8*5.5*3cm) Net Weight: Approx. 0.67oz (19g) Product Features 1). Attached to any Standard Tripod Attach to any standard tripod which has universal standard 1/4"" mounting hole screw.  2).Strong Compatibility The clip holder can be expanded from 2.17"" to 3.37"" (5.5cm to 8.5 cm) wide, which made it compatible with most smart phones, such as: iPhone 8 8 Plus 7 7 Plus SE 6S 6 Plus 5S 5C 5 4s 4 as well as Samsung Galaxy S7 S6 S5 S4 S3 S2 and many other.  3). Grasps your Device Firmly The clip holder will hold your device firmly, just enjoy your time while recording video, taking pictures, or to use your phone as a webcam.  4).Protect your Device Thanks to the PVC rally glue, your phone screen is untouched by the tripod connector, so you don't have to worry about scratching, cracking, or leaving marks on the screen; Both sides of the card slot and the front are equipped with cushions, two-tier reinforced sponge fixture, prevent your device from falling down and anti-shock.  5). Material Made from Aluminum alloy and ABS plastic, not fade, not rust, extremely durable; Metal copper core of the mounting screw hole, with strong abrasion resistance and use for a long lifetime. Package Included 1x Universal Cell Phone Clip Holder",2
Books,"Media Life (Dms Digital Media and Society) Review “Media Life is a daring, provocative and mindful analysis of the many ways in which media have become an irreducible component of the social. It is written in a very approachable style, presented in an impeccable typographic design, and is impressive in its scope of concepts, terminologies, and the body of examples from market research, art and popular culture.” Christoph Raetzsch, Digital Journalism  ""Draws on a wide array of sometimes sharply original ideas about both entrapment and opportunity, organizing them vigorously and often with wit."" European Journal of Communication  ""This innovative interpretation of our relationship to media is both coherent and the fruit of much thought. It contains the promise of a long–sought–for new paradigm to replace the original causal–linear model of mass communication."" Denis McQuail, University of Amsterdam ""Media Life is a fresh and inspiring book, dense in original ideas and intuitions. It is an outstanding book to read, to study, to cite, to have on the shelves of your library, to lend to friends, to suggest to students, and to think about when you yourself take part in media life."" Leopoldina Fortunati, University of Udine ""In Media Life Mark Deuze gives us an immediate sense of the embedded, interconnected, and multi–modal character and necessity of media in contemporary life. It is also a window into the next generation of communication research and scholarship, where the familiar divides between channel and content, interpersonal interaction and mediated communication, the personal, the institutional, and the systemic will fade and reconfigure. Just as we cannot not communicate, today we cannot not mediate. An indispensable tour of the emerging boundaries of media studies."" Leah Lievrouw, University of California Los Angeles From the Back Cover Research consistently shows how through the years more of our time gets spent using media, how multitasking our media has become a regular feature of everyday life, and that consuming media for most people increasingly takes place alongside producing media.  Media Life is a primer on how we may think of our lives as lived in rather than with media. The book uses the way media function today as a prism to understand key issues in contemporary society, where reality is open source, identities are – like websites – always under construction, and where private life is lived in public forever more.  Ultimately, media are to us as water is to fish. The question is: how can we live a good life in media like fish in water? Media Life offers a compass for the way ahead.              See all Product description",0
Household,Daikin Filter MC70MVM6 - Set of 5 - Replacement filter for Daikin Air purifier,3
Electronics,"Aukey Ora 140° Wide Angle + 10x Macro Clip-on Cell Phone Camera Lens Kit for Android & iOs Smartphones See more than before. Take your smartphone photography to the next level with spectacular 140° wide-angle perspectives. Snap large group photos, unique selfies, great cityscapes, expansive landscapes, and so much more. Produce stunning, crystal-clear images that let you hold on to the moment forever. For better performance and fit, try removing any phone case.",2
Household,"Shapes Gracia Dinner Knife 6 Pcs Shapes Products Pvt. Ltd. provides fine and classy cutlery that can make a difference to your dining experience.It is a world class provider of quality stainless steel cutlery with in-house manufacturing unit in India.Make a difference to your kitchen through a range of most dazzling and exquisite cutlery offered by us. Our collection is an excellent demonstration of the beautification of cutlery.Make meals an elegant affair with well-designed, 100% food grade stainless steel cutlery. Add a touch of design to the table with practical, well-designed cutlery. These pieces have thick stems for durability, and soft-curved edges for safety, style and functionality. Our ranges will suit both basic and formal table settings.Each piece in the Shapes Cutlery Set has delicate and simple design elements on them that will never go out of style no matter how often you use them. Moreover, these stylish pieces can be used everyday as they are designed with thick stems for durability. Its smooth edges also ensure safety. Package Content: 6 Pcs Dinner knives.",3
Clothing & Accessories,"new balance Women's Sports Shorts ""Get in gear for your next challenge. Our New Balance running shorts for women were designed and engineered to help you tackle any task, from training for a half marathon to jogging with your dog on a hot summer night. Our women’s spandex shorts and women’s running shorts offer the ultimate in stretchiness and breathability to help provide you with superior comfort, no matter your route. Available in a variety of styles, colors and prints, these shorts pair perfectly with our ""women's sports bras"" or ""women’s short sleeve shirts"".""",1
Electronics,"HTC E250 USB Wall Charger for iPhone and Android Devices (Black) HTC’s charger provides ultimate safety from over loading, over charging and situations where short circuits are of concern. The charger is capable of protecting the device when excessive current is flowing through the circuit. BIS-certification guarantees the ultimate quality of the product. Light-weight and slim design helps in providing high portability. This also makes it easy to carry around anywhere and everywhere. Charges all devices from brands like HTC, Nokia, Redmi, Motorola , Samsung, Blackberry, Lenovo, and more. Protects device in Over loading situations. Keeps device from getting damaged during over charging situations. Charges all mobiles from various brands. Light-weight and slim in design. Handles Situations like Short-circuits effectively and protects device.",2
